Nr_tabeli;Nazwa_tabeli;Kraj;Rok;Powierzchnia [km2];Ludnoœæ [tys.]       ;PKB [mln euro05];Pozyskanie_energii_pierwotnej [ktoe] ;Zu¿ycie_krajowe_energii_pierwotnej (= Zu¿ycie_krajowe_energii_brutto) [ktoe];Energoch³onnoœæ_pierwotna_PKB [toe/mln euro05];Import_netto [ktoe];Zu¿ycie_koñcowe_energii [ktoe];Zu¿ycie_koñcowe_energii/mieszkañca [toe/miesz.];Zu¿ycie_koñcowe_energii/ gospodarstwo_domowe [toe/gosp. dom.];Energoch³onnoœæ_finalna_PKB [toe/mln euro05];Zale¿noœæ_energetyczna (= Import_netto_energii / (Zu¿ycie_krajowe_energii_pierwotnej + Bunkier_morski)) [%];Produkcja_energii_elektrycznej [ktoe];Produkcja_energii_elektrycznej_z_OZE [ktoe];Zu¿ycie_krajowe_energii_elektrycznej [ktoe];Zu¿ycie_koñcowe_energii_elektrycznej [ktoe];Zu¿ycie_energii_elektrycznej/mieszkañca [toe/miesz.];Elektroch³onnoœæ_PKB [toe/mln euro05];Zu¿ycie_energii_elektrycznej/gospodarstwo_domowe [toe/gosp. dom.];Zale¿noœæ_elektroenergetyczna (= Import_netto_energii_elektrycznej/Zu¿ycie_krajowe_energii_elektrycznej) [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_elektroenergetyce [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_ciep³ownictwie_i_ch³odnictwie [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_transporcie [%];GHG (w_ekwiwalencie_CO2) [Tg];Emisja_CO2 [Tg];Emisja_CO2/produkcja_energii_elektrycznej [Gg/ktoe];Emisja_CO2/mieszkañca [Mg/miesz.] 
1;Polska i Unia Europejska - wybrane dane;W³ochy;2015;302073;60666;1424271;36134;156169;110;121831;116444;1,92;4,52;81,76;77,07;24333;9435;28321;24719;0,47;19,88;1,10;14,08;17,49;33,46;19,17;6,42;442,78;366,87;15,08;6,05
1;Polska i Unia Europejska - wybrane dane;UE 28;2016;4473680;510277;13100651;755389;1640615;125;903711;1107818;2,17;5,04;84,56;53,64;279884;82541;281448;239405;0,55;21,48;1,28;0,56;17,04;29,60;19,06;7,14;4439,29;3635,77;12,99;7,13
1;Polska i Unia Europejska - wybrane dane;Austria;2016;83882;8700;291927;12349;33865;116;21159;28128;3,23;7,28;96,35;62,45;5877;4524;6493;5318;0,75;22,24;1,68;9,48;33,49;72,64;33,35;10,58;82,02;69,73;11,86;8,01
1;Polska i Unia Europejska - wybrane dane;Belgia;2016;30665;11311;357281;14969;57451;161;48720;36333;3,21;7,74;101,69;75,99;7353;1227;7885;7038;0,70;22,07;1,68;6,74;8,65;15,75;8,14;5,89;122,14;104,62;14,23;9,25
1;Polska i Unia Europejska - wybrane dane;Bu³garia;2016;110995;7154;31801;11218;18128;570;6767;9663;1,35;3,52;303,85;37,17;3893;633;3345;2485;0,47;105,19;1,22;-16,38;18,81;19,24;30,00;7,27;59,70;45,92;11,80;6,42
1;Polska i Unia Europejska - wybrane dane;Chorwacja;2016;56594;4191;38499;4409;8585;223;4106;6639;1,58;4,48;172,45;47,81;1102;729;1578;1316;0,38;40,98;1,07;30,14;28,28;46,71;37,58;1,26;24,68;18,60;16,87;4,44
1;Polska i Unia Europejska - wybrane dane;Cypr;2016;9253;848;16502;129;2443;148;2620;1758;2,07;5,58;106,53;96,16;420;36;420;378;0,50;25,46;1,33;0,00;9,35;8,59;23,03;2,65;9,66;8,18;19,48;9,65
1;Polska i Unia Europejska - wybrane dane;Czechy;2016;78870;10554;137703;27159;41807;304;13683;24881;2,36;5,30;180,68;32,73;7163;833;6220;4819;0,59;45,17;1,33;-15,17;14,89;13,61;19,87;6,42;130,55;107,50;15,01;10,19
1;Polska i Unia Europejska - wybrane dane;Dania;2016;42926;5707;234815;14949;17422;74;2523;14450;2,53;6,05;61,54;13,95;2624;1641;3059;2679;0,54;13,03;1,28;14,21;32,18;53,73;41,68;6,76;53,04;39,94;15,22;7,00
1;Polska i Unia Europejska - wybrane dane;Estonia;2016;45336;1316;13700;4677;6219;454;443;2818;2,14;4,92;205,72;6,82;1047;135;872;628;0,66;63,64;1,52;-20,08;28,81;15,48;51,17;0,40;19,69;17,56;16,77;13,34
1;Polska i Unia Europejska - wybrane dane;Finlandia;2016;338441;5487;175173;17563;34620;198;15796;25249;4,60;9,56;144,14;45,26;5912;2483;7541;6950;1,37;43,05;2,86;21,61;38,70;32,93;53,69;8,43;60,72;49,89;8,44;9,09
1;Polska i Unia Europejska - wybrane dane;Francja;2016;638474;66730;1958753;130575;248746;127;117755;147159;2,21;5,05;75,13;47,06;47823;8416;44255;38037;0,66;22,59;1,52;-8,06;15,98;19,20;21,06;8,90;475,36;357,49;7,48;5,36
